e ɪ̯	A
æ n t ɪ ɹ iː ɒ n	A n t i r r i o n
æ n t ɪ s θ ə n iː z	A n t i s t h e n e s
æ n t ə ʊ n i ə	A n t o n i a
æ n t ə ʊ n j ə	A n t o n i a
æ n t ə ʊ n i ə s	A n t o n i u s
æ n t ə n i	A n t o n y
æ n t ɹ ɪ m	A n t r i m
ɑ n t u	A n t u
ɑ n t ʊ ŋ	A n t u n g
ə n j ʊ ə ɹ ə	A n u r a
ɑː n ʃ iː n	A n x i n
ɑː n d z ʌ	A n z e
e ɪ iː d i	A o e d e
iː v ɪ n	A o i b h i n n
a ʊ m ə n	A o m e n
ɑː ɒ s t ə	A o s t a
ɑː ə ʊ t e ə r ə ʊ ə	A o t e a r o a
ə p æ t͡ʃ i	A p a c h e
æ p ə m iː ə	A p a m e a
æ p ə m iː ə n	A p a m e a n
æ p ə m iː n	A p a m e n e
e ɪ p l æ n t ə	A p e l a n t a
ə p ɛ l iː z	A p e l l e s
æ p ə n a ɪ n	A p e n n i n e
æ p ə n a ɪ n z	A p e n n i n e s
ə p ɪ ʃ ə n	A p i c i a n
ə p ɒ k ə l ɪ p s	A p o c a l y p s e
ə p ɒ l ə ʊ	A p o l l o
e ɪ p ɒ p	A p o p
æ p ə f ɪ s	A p o p h i s
ə p ɒ f ɪ s	A p o p h i s
ə p ɒ s t ə l ɪ s	A p o s t o l o s
æ p i ə n	A p p i a n
æ p ə l	A p p l e
æ p ə l t ə n	A p p l e t o n
e ɪ p ɹ ə l	A p r i l
e ɪ p ɹ ɪ l	A p r i l
e ɪ p ɹ ə l z	A p r i l s
æ p j u l i ə s	A p u l e i u s
ə p uː l iː ə n	A p u l i a n
e ɪ p ə s	A p u s
a k ə b ə	A q a b a
æ k w ə f ɔ ɹ t	A q u a f o r t e
ə k w ɛ ə ɹ ɪ ə s	A q u a r i u s
æ k w ɪ l ə	A q u i l a
ə k w a ɪ n ə s	A q u i n a s
æ k w ɪ t e ɪ n	A q u i t a i n e
æ k w ɪ t e ɪ n j ə	A q u i t a n i a
æ k w ɪ t e ɪ n ɪ ə	A q u i t a n i a
e ɪ ɹ ə	A r a
ɛ ɹ ə	A r a
æ ɹ ə b	A r a b
ʌ r ə b ʌ n ə	A r a b a n a
æ ɹ ə b ɛ l ə	A r a b e l l a
æ ɹ ə b ɛ t ɪ k	A r a b e t i c
ə ɹ e ɪ b i ə	A r a b i a
ə ɹ e ɪ b i ə n	A r a b i a n
æ ɹ ə b ɪ k	A r a b i c
æ ɹ ə b ɪ ʃ	A r a b i s h
ɛ ɹ ə b ɪ ʃ	A r a b i s h
a ɹ ə b ɪ s t	A r a b i s t
e ɪ ɹ ə b n ə s	A r a b n e s s
æ ɹ ə b n ə s	A r a b n e s s
e ɪ ɹ æ b z	A r a b s
ɛ ɹ ə b z	A r a b s
ɑ ɹ ə k ə ʒ uː	A r a c a j u
ɑ ɹ ə k ɑ n	A r a c a n
ə ɹ æ k n i	A r a c h n e
æ ɹ ə ɡ ə n	A r a g o n
æ r ə ɡ ɒ n iː z	A r a g o n e s e
æ ɹ ə m	A r a m
æ ɹ ə m iː ə n	A r a m a e a n
æ ɹ ə m e ɪ ɪ k	A r a m a i c
æ ɹ ə n	A r a n
æ ɹ ə n z	A r a n s
æ ɹ ə ɹ æ t	A r a r a t
æ ɹ æ s	A r a s
ə ɹ e ɪ t ə s	A r a t u s
ə ɹ æ k s iː z	A r a x e s
ɑː b iː l ə	A r b e l a
ɑː ɹ b ɹ o ʊ θ	A r b r o a t h
ɑː ɹ b ʌ θ n ɒ t	A r b u t h n o t
ɑː ɹ b ʌ θ n ɒ t	A r b u t h n o t t
ɑː k e ɪ d ɪ ə	A r c a d i a
ɑː ɹ k e ɪ d i ə n	A r c a d i a n
æ ɹ s ə n o ʊ	A r c e n e a u x
ɑː k iː ə n	A r c h a e a n
ɑ ɹ k ə l e ɪ ə s	A r c h e l a u s
ɑː ɹ t͡ʃ iː	A r c h i
ɑː ɹ t͡ʃ ɪ b ɔː l d	A r c h i b a l d
ɑː ɹ t͡ʃ ɪ b ə l d	A r c h i b a l d
ɑː k i	A r c h i e
ɑː t͡ʃ i	A r c h i e
ɑː k ɪ m iː d i ə n	A r c h i m e d e a n
ɑ ɹ k ə m iː d iː z	A r c h i m e d e s
ɑː k ɪ m iː d iː z	A r c h i m e d e s
ɑː t͡ʃ i	A r c h y
ɑː k t ɪ k	A r c t i c
ɑ ɹ k t j ʊ ə ɹ ə s	A r c t u r u s
æ ɹ iː ɒ p ə ɡ a ɪ t	A r e o p a g i t e
ɛ ə ɹ i ə ʊ p ə d͡ʒ ɪ t ɪ k	A r e o p a g i t i c
æ ɹ i ɒ p ə ɡ ə s	A r e o p a g u s
e ə ɹ iː z	A r e s
æ ɹ ɪ θ j uː z ə	A r e t h u s a
ə ɹ ɛ t s ə ʊ	A r e z z o
ɑː d͡ʒ ə n t iː n ə	A r g e n t i n a
ɑ ɹ d͡ʒ ɪ n t iː n ə n	A r g e n t i n a n
ɑː d ʒ ə n t a ɪ n	A r g e n t i n e
ɑː d ʒ ə n t iː n	A r g e n t i n e
ɑ ɹ d͡ʒ ə n t iː n ɪ ə n	A r g e n t i n i a n
ɑ ɹ d͡ʒ ə n t ɪ n ɪ ə n	A r g e n t i n i a n
ɑː d ʒ a ɪ v	A r g i v e
ɑː ɡ a ɪ v	A r g i v e
ɑː r ɡ ə n ɔː t	A r g o n a u t
ɑː ɡ ə s	A r g u s
ɑ ɹ ɡ a ɪ l	A r g y l e
ɑː ɹ ɡ a ɪ l	A r g y l l
æ ɹ i æ d n i	A r i a d n e
ɛ ə ɹ i ə n	A r i a n
ɑː ɹ i æ n ə	A r i a n a
ɛ ə ɹ ɪ ə n ɪ z ə m	A r i a n i s m
ɛ ə ɹ ɪ ə n z	A r i a n s
ɛ ə ɹ i ə l	A r i e l
ɛ ə ɹ ɪ ə l	A r i e l
ɛ ə ɹ iː z	A r i e s
ə ɹ ɪ k ə ɹ ə	A r i k a r a
æ ɹ ɪ s t e ɪ ə s	A r i s t a e u s
æ ɹ ɪ s t iː ə s	A r i s t a e u s
ə ɹ iː s t ɪ ə s	A r i s t a e u s
æ ɹ ɪ s t ɑː k	A r i s t a r c h
æ ɹ ɪ s t ɒ f ə n iː z	A r i s t o p h a n e s
æ ɹ ɪ s t ə t iː l i ə n	A r i s t o t e l i a n
æ ɹ ɪ s t ɒ t ə l	A r i s t o t l e
ɛ ə ɹ i ə s	A r i u s
æ ɹ ɪ z ə ʊ n ə	A r i z o n a
ɑː ɹ d͡ʒ ʊ n	A r j u n
ɑː ɹ k ə n s ɔː n	A r k a n s a n
ɑː ɹ k ə n s ɔː n	A r k a n s a s a n
ɑː ɹ k h ə ʊ m	A r k h o l m e
ɑː k a ɪ t	A r k i t e
ɑː ɹ l b ɜː ɹ ɡ	A r l b e r g
ɑː ɹ l z i	A r l e s e y
ɑː ɹ l o ʊ	A r l o
ɑ ɹ l ɔː n	A r l o n
ɑː m ɑː d ə	A r m a d a
ɑː ɹ m ə ɡ ɛ d n̩	A r m a g e d d o n
ɑː m ɑː	A r m a g h
ɑː m iː n i ə	A r m e n i a
ɑː m iː n i ə n	A r m e n i a n
ɑː ɹ m ɪ n d ə	A r m i n d a
ɑː m ɪ s t ɪ s	A r m i s t i c e
ɑː m ɪ t ɪ d͡ʒ	A r m i t a g e
ɑː m ɒ ɹ ɪ k ə	A r m o r i c a
ɑː n ə ʊ	A r n o
æ ɹ ə ʊ m e ɪ n ɪ ə n	A r o m a n i a n
ɑː p ɪ t æ n	A r p i t a n
æ ɹ ə m	A r r a m
æ ɹ ə n	A r r a n
æ ɹ ə s	A r r a s
a ɹ ə n d ə	A r r e r n t e
æ ɹ ə n d ə	A r r e r n t e
æ ɹ ɪ t a ɪ n	A r r e t i n e
ɑː s e ɪ s i z	A r s a c e s
ɑː s ə s i z	A r s a c e s
ɑ ɹ s ə s ɪ d	A r s a c i d
ɑː s ɪ n ə ʊ iː	A r s i n o e
ɑː t ə ɡ z ɜː k s iː z	A r t a x e r x e s
ɑ r t iː m i ə	A r t e m i a
ɑː t iː ʒ ə	A r t e s i a
ɑː θ ə ɹ	A r t h u r
ə ɹ uː b ə	A r u b a
ɑː ɹ ʊ n	A r u n
æ ɹ ə n d ə l	A r u n d e l
ɑː v ə n a ɪ t	A r v a n i t e
ɑː v ə n ɪ t ɪ k	A r v a n i t i c
ɑː v ə n ɪ t ɪ k ə	A r v a n i t i k a
ɑː ɹ v ɜː ɹ n a ɪ	A r v e r n i
ɑː ɹ w ə l	A r w e l
ɑː ɹ w ɛ l	A r w e l
ɑː j ə n	A r y a n
ɑː ɹ i ə n	A r y a n
ɛ ə j ə n	A r y a n
ɛ ə ɹ i ə n	A r y a n
æ ɹ z uː	A r z e w
e ɪ s ə	A s a
e ɪ s æ f	A s a f
e ɪ s æ f	A s a p h
æ s k e ɪ n i ə s	A s c a n i u s
æ s k l iː p i ə s	A s c l e p i u s
ə s k l iː p i ə s	A s c l e p i u s
æ s k ə t	A s c o t
æ s ɪ n æ θ	A s e n a t h
æ s ɡ ɑ ɹ d	A s g a r d
æ z ɡ ɑ ɹ d	A s g a r d
ɑ s ɡ ɑ ɹ d	A s g a r d
ɑ z ɡ ɑ ɹ d	A s g a r d
æ ʃ	A s h
ə ʃ æ n t iː	A s h a n t i
ə ʃ ɑː n t iː	A s h a n t i
æ ʃ b ə ɹ i	A s h b u r y
æ ʃ b ɛ ɹ i	A s h b u r y
æ ʃ ə ɹ	A s h e r
æ ʃ ə ɹ ə	A s h e r a h
ə ʃ iː ɹ ə	A s h e r a h
æ ʃ ə ɹ a ɪ t	A s h e r i t e
æ ʃ f iː l d	A s h f i e l d
æ ʃ f ə d	A s h f o r d
ɑː ʃ iː n ə	A s h i n a
ɑː ʃ iː ə n ɑː	A s h i n a
æ ʃ k ə l ɒ n	A s h k e l o n
æ ʃ k ɪ n ɑː z i	A s h k e n a z i
æ ʃ k ɪ n ə z iː	A s h k e n a z i
æ ʃ k ɪ n ɑː z ɪ m	A s h k e n a z i m
æ ʃ k ɪ n ə z ɪ m	A s h k e n a z i m
æ ʃ k ɪ n ɑː z a ɪ z	A s h k e n a z i z e
æ ʃ m ɪ d a ɪ	A s h m e d a i
ə ʃ ə ʊ k ə	A s h o k a
æ ʃ t ə n	A s h t o n
æ ʃ w ɪ k	A s h w i c k
e ɪ ʃ ə n	A s i a n
e ɪ ʒ ə n	A s i a n
æ s m ɑː ɹ ə	A s m a r a
æ z m ə d iː ə s	A s m o d e u s
ə s p e ɪ t ɹ i ə	A s p a t r i a
æ s p ɜː ɹ ɡ ɚ	A s p e r g e r
æ s p ɪ ɹ ɪ n	A s p i r i n
æ s p ɹ ɪ n	A s p i r i n
æ s æ m	A s s a m
ə s ɒ m	A s s a m
ə s ɑː n ʒ	A s s a n g e
ə s ɪ ɹ i ə	A s s y r i a
ə s i ɹ i ɪ n	A s s y r i a n
æ s ɪ ɹ ɒ d ʒ ɪ n ə s	A s s y r o g e n o u s
ə s t ɑː n ə	A s t a n a
ə s t ɔː ɹ i ə	A s t o r i a
æ s t ɹ iː ə	A s t r a e a
ə s t ɹ iː ə s	A s t r a e u s
æ s t ɹ ə k æ n	A s t r a k h a n
æ s t ɹ ɪ d	A s t r i d
æ s t ɹ ɒ s	A s t r o s
æ s t ɹ ə ʊ z	A s t r o s
æ s t ʊ ə ɹ i ə n	A s t u r i a n
ə s t j ʊ ə ɹ i ə n	A s t u r i a n
æ s t ʊ ə ɹ i ə s	A s t u r i a s
ə s t j ʊ ə ɹ i ə s	A s t u r i a s
æ s t a ɪ ə d͡ʒ iː z	A s t y a g e s
a s w ɑː n	A s w a n
æ θ ə m æ s	A t h a m a s
æ θ ə m ə s	A t h a m a s
æ θ ə n e ɪ z i ə s	A t h a n a s i u s
æ θ ə n e ɪ ʃ ə s	A t h a n a s i u s
æ θ ə l ɹ ɛ d	A t h e l r e d
æ θ ɛ l s t æ n	A t h e l s t a n
ə θ iː n ə	A t h e n a
a θ ɪ n iː ə m	A t h e n a e u m
ə θ iː n i ə n	A t h e n i a n
ə θ iː n i ə n ɪ z ə m	A t h e n i a n i s m
ə θ iː n i ə n z	A t h e n i a n s
æ θ ə n z	A t h e n s
æ θ ɒ s	A t h o s
ə t ɪ k ə m ɛ k	A t i k a m e k w
æ t l æ n t ə	A t l a n t a
æ t l ə n t iː ə n	A t l a n t e a n
ə t l æ n t i ə n	A t l a n t e a n
ə t l æ n t i ə n	A t l a n t i a n
ə t l æ n t ɪ k	A t l a n t i c
ə t l æ n t ə s	A t l a n t i s
æ t l ə s	A t l a s
æ t ɹ ə p ɒ s	A t r o p o s
æ t ɪ k	A t t i c
a t ɪ s ɪ z m	A t t i c i s m
æ t ə l b ə ɹ ə	A t t l e b o r o u g h
æ t ə l b ɹ ə	A t t l e b o r o u g h
ə t j a b	A t y a p
ɑ t ɪ ɹ a ʊ	A t y r a u
o ʊ b	A u b e
ɔː b ɹ i	A u b r e y
ɔː b ə ɹ n	A u b u r n
ɔː k l ə n d	A u c k l a n d
ɔː d ɹ i	A u d r e y
a ʊ ə ɹ	A u e r
ɔː d͡ʒ iː ə n	A u g e a n
ɔː d͡ʒ iː ə s	A u g e a s
a ʊ d͡ʒ ɚ	A u g e r
a ʊ ɡ ɚ	A u g e r
o ʊ ʒ e ɪ	A u g e r
ɔ ɡ ɚ	A u g e r
ɔː ʒ ɚ	A u g e r
ɔː ɡ ə s t	A u g u s t
ə ɡ ʌ s t ə	A u g u s t a
ɔː ɡ ʌ s t ə n	A u g u s t a n
ɔː ɡ ə s t iː n	A u g u s t i n e
ɔː ɡ ʌ s t ɪ n	A u g u s t i n e
ɔ ɡ ə s t s	A u g u s t s
ɔː ɡ ʌ s t ə s	A u g u s t u s
ə ɡ ʌ s t ə s	A u g u s t u s
ɑ k ɚ m ə n	A u k e r m a n
a ʊ l ɪ s	A u l i s
ɔː l ɪ s	A u l i s
ɔ ɹ i l i ə s	A u r e l i u s
ə ɹ i l i ə s	A u r e l i u s
ɔː ɹ a ɪ ɡ ə	A u r i g a
a ʊ ʃ v ɪ t s	A u s c h w i t z
ɔː ʃ w ɪ t s	A u s c h w i t z
ɔː s ə ʊ n i ə n	A u s o n i a n
ɒ s i	A u s s i e
ɒ z i	A u s s i e
ɒ s t ɪ n	A u s t e n
ɔː s t ə n ɛ s k	A u s t e n e s q u e
ɔː s t iː n ɪ ə n	A u s t e n i a n
ɒ s t ɪ n a ɪ t	A u s t e n i t e
ɒ s t ə	A u s t e r
ɔː s t ə	A u s t e r
a ʊ s t ə l ɪ t s	A u s t e r l i t z
ɔː s t ə l ɪ t s	A u s t e r l i t z
ɒ s t ɪ n	A u s t i n
ɒ s t ɪ n a ɪ t	A u s t i n i t e
ɒ s t ɪ n a ɪ t s	A u s t i n i t e s
ɒ s t ɹ ə l e ɪ ʒ ə	A u s t r a l a s i a
ɒ s t ɹ e ɪ l i j ə	A u s t r a l i a
ɒ s t ɹ e ɪ l iː ə	A u s t r a l i a
ɔː s t ɹ e ɪ l ɪ j ə	A u s t r a l i a
ɔː s t ɹ e ɪ l ɪ ə	A u s t r a l i a
ɒ s t ɹ e ɪ l i j ə n	A u s t r a l i a n
ɒ s t ɹ e ɪ l iː ə n	A u s t r a l i a n
ɔː s t ɹ e ɪ l ɪ j ə n	A u s t r a l i a n
ɔː s t ɹ e ɪ l ɪ ə n	A u s t r a l i a n
ɔ s t ɹ e ɪ l i e ɪ n ə	A u s t r a l i a n a
ɔ s t ɹ e ɪ l i æ n ə	A u s t r a l i a n a
ɔ s t ɹ e ɪ l i ɑ n ə	A u s t r a l i a n a
ɒ s t ɹ e ɪ l j ə n a ɪ z	A u s t r a l i a n i s e
ɒ s t ɹ e ɪ l j ə n a ɪ z	A u s t r a l i a n i z e
ɒ s t ɹ e ɪ ʒ ə	A u s t r a s i a
ɒ s t ɹ ɪ ə	A u s t r i a
ɔː s t ɹ ɪ ə	A u s t r i a
ɒ s t ɹ i ə n	A u s t r i a n
ɒ s t ɹ i ə n ɪ z ə m	A u s t r i a n i s m
ɒ s t ɹ i ə n ɪ z ə m s	A u s t r i a n i s m s
ɒ s t ɹ i ə n s	A u s t r i a n s
ɒ s t ɹ ə n iː ʒ ə	A u s t r o n e s i a
ɔː s t ɹ o ʊ n iː ʒ ə n	A u s t r o n e s i a n
ɔː s t ɹ o ʊ n iː ʒ ə n z	A u s t r o n e s i a n s
ɒ s t ɹ ə ʊ f ə ʊ b	A u s t r o p h o b e
ə ʊ v ɜː ɹ n	A u v e r g n e
e ɪ v ə	A v a
ɑː v ə	A v a
æ v ə l ɒ n	A v a l o n
æ v ɑ ɹ	A v a r
ɑː v d iː ɪ v k ə	A v d i i v k a
ə v d iː ɪ v k ə	A v d i i v k a
e ɪ v i	A v e
æ v e ɪ	A v e
ɑː v e ɪ	A v e
e ɪ v ə m p e ɪ s	A v e m p a c e
ɑ v ɛ m p ɑ θ e ɪ	A v e m p a c e
æ v ə n t a ɪ n	A v e n t i n e
ɑ v ə n z o ʊ ə ɹ	A v e n z o a r
ə v ɛ ɹ ə ʊ iː z	A v e r r o e s
e ɪ v ə ɹ i	A v e r y
ə v ɛ s t ə n	A v e s t a n
ə v ɛ s t ɪ k	A v e s t i c
eː v j aː d	A v e y a r d
æ v ɪ s ɛ n ə	A v i c e n n a
æ v i m ɔː ɹ	A v i e m o r e
æ v ɪ n j ɒ n	A v i g n o n
a v ə ɡ ɑː d ɹ ə ʊ	A v o g a d r o
e ɪ v ə n	A v o n
e ɪ v ə n d e ɪ l	A v o n d a l e
e ɪ v ə n m a ʊ θ	A v o n m o u t h
e ɪ v ə n m ə θ	A v o n m o u t h
æ v ɹ ɪ l	A v r i l
ɔː ɹ	A w r e
æ k s ə l	A x e l
æ k s m ə θ	A x m o u t h
a ɪ d ɪ n	A y d i n
e ɪ ə ɹ	A y e r
ɛ ə ɹ	A y e r
e ɪ l z b ə ɹ i	A y l e s b u r y
e ɪ l z f ə ɹ d	A y l e s f o r d
e ɪ l ʃ ə m	A y l e s h a m
a ɪ m ə ɹ ɑː	A y m a r a
a ɪ n	A y n
ɛ ə	A y r
ɛː	A y r
e ɪ ɹ æ b	A y r a b
ɛ ə ʃ ə	A y r s h i r e
ɛ ə ʃ ɪ ə	A y r s h i r e
a ɪ ʊ ə v e ɪ d ə	A y u r v e d a
æ z ə l	A z a l
ə z ɑ l	A z a l
æ z ə z ɛ l	A z a z e l
ə z e ɪ z ə l	A z a z e l
æ z ə ɹ b a ɪ d ʒ ɑː n	A z e r b a i j a n
ə z ɛː ɹ b a ɪ d ʒ ɑː n	A z e r b a i j a n
æ z ə b a ɪ d ʒ ɑː n i	A z e r b a i j a n i
ə z ɛː ɹ i	A z e r i
æ z n ə v ʊ ə	A z n a v o u r
ə z ɔː z	A z o r e s
ɑː z ɒ v	A z o v
æ z ɹ i ə l	A z r a e l
æ z t ɛ k	A z t e c
æ z t ɛ k s	A z t e c s
b æ k s	B A C S
b ə n ɑː n ə	B A N A N A
b æ n z ə l	B A N Z S L
b ɑː t	B A R T
b e ɪ s	B A S E
b e ɪ s ɪ k	B A S I C
b ɛ k s	B E C C S
b ɛ d m æ s	B E D M A S
b iː ɛ f ɛ f	B F F
b i ɛ f a ɪ	B F I
b a ɪ ɒ s	B I O S
b iː ɛ l t iː	B L T
b iː n ɒ k	B N O C
b o ʊ ɡ o ʊ	B O G O
b ɒ ɡ ɒ f	B O G O F
b ɔ ɪ ŋ k	B O I N C
b ɔː t w ə	B O T W
b r æ k ə	B R C A
b ɹ ʊ k	B R U K
b iː s ə n	B S O N
b iː t iː j uː	B T U
b iː ɛ k s	B X
b e ɪ l	B a a l
b e ɪ ə l	B a a l
b ɑː l	B a a l
b ɑː θ	B a a t h
b ɑː θ ɪ z ə m	B a a t h i s m
b ə ʔ ɑː θ ɪ z ə m	B a a t h i s m
b ɑː θ ɪ s t	B a a t h i s t
b æ b ɪ t	B a b b i t t
b e ɪ b l̩	B a b e l
b e ɪ b ɚ	B a b e r g h
b ɔ ɑː b ɔ m u	B a b m
b ə b uː v ɪ s t	B a b o u v i s t
b æ b z	B a b s
b æ b ɪ l ɒ n	B a b y l o n
b æ b ɪ l ə ʊ n ɪ ə	B a b y l o n i a
b æ b ɪ l ɒ n ɪ k	B a b y l o n i c
b æ k ə n e ɪ l i ə	B a c c h a n a l i a
b æ k ə n e ɪ l i ə n	B a c c h a n a l i a n
b æ k ə s	B a c c h u s
b ɑː k	B a c h
b æ k ɹ uː m s	B a c k r o o m s
b æ k ɹ ʊ m s	B a c k r o o m s
b æ k ə s	B a c k u s
b ɑː k ɔː l ə d	B a c o l o d
b e ɪ k ə n	B a c o n
b ə k ə ʊ n ɪ ə n	B a c o n i a n
b ə k ə ʊ n ɪ k	B a c o n i c
b æ k t ɹ ɪ ə	B a c t r i a
b æ k t ɹ ɪ ə n	B a c t r i a n
b e ɪ k ʌ p	B a c u p
b ɑː d ə h o ʊ s	B a d a j o z
b æ d ə m z	B a d d a m s
b ə d ɛ k	B a d d e c k
b æ d ə l e ɪ d	B a d e l a i d e
b ɑː d ə n	B a d e n
b æ d ʒ ɚ	B a d g e r
b ə d ɔ ŋ	B a d o n g
b e ɪ	B a e
b æ f ɪ n	B a f f i n
b æ ɡ d æ d	B a g h d a d
b æ d͡ʒ ɪ n t ə n	B a g i n t o n
b æ ɡ l i	B a g l e y
b ɑː ɡ ɹ i	B a g r i
b æ ɡ i o ʊ	B a g u i o
b ə h ɑː m ə z	B a h a m a s
b ə h e ɪ m ɪ ə n	B a h a m i a n
b a h ɑː s ə	B a h a s a
b ɒ iː ə	B a h i a
b ə h iː ə	B a h i a
b ɑː h ɹ e ɪ n	B a h r a i n
b a ɪ t͡ʃ ɛ ŋ	B a i c h e n g
b a ɪ d uː	B a i d u
b a ɪ h i	B a i h e
b a ɪ h ə	B a i h e
b a ɪ k æ l	B a i k a l
b a ɪ k ə n ɪ ɚ	B a i k o n u r
b e ɪ l i	B a i l e y
b e ɪ n	B a i n e
b a ɪ n ɪ ŋ	B a i n i n g
b ɛ ə d	B a i r d
b a ɪ s i	B a i s e
b a ɪ s ə	B a i s e
b a ɪ ʃ æ n	B a i s h a n
b a ɪ j æ ŋ	B a i y a n g
b a j a	B a j a
b ɑː h ɑː	B a j a
b e ɪ d͡ʒ ə n	B a j a n
b e ɪ k ə l a ɪ t	B a k e l i t e
b e ɪ k ə l uː	B a k e r l o o
b ɑ k m u t	B a k h m u t
b ɑː k l ə h ɔː ɹ ɑː n i	B a k l a h o r a n i
b æ k uː	B a k u
b e ɪ l ə m	B a l a a m
b æ l ə k l ɑː v ə	B a l a c l a v a
b æ l ə t ɒ n	B a l a t o n
b ɒ l ə t ɒ n	B a l a t o n
b ɔː l d w ɪ n	B a l d w i n
b æ l i æ ɹ ɪ k	B a l e a r i c
b ə l ɛ n s i ɑː ɡ ə	B a l e n c i a g a
b ɑː l i	B a l i
b ɑː l ɪ n iː z	B a l i n e s e
b ɒ l k ə n	B a l k a n
b ɔː l k ə n	B a l k a n
b ɒ l k ə n ə	B a l k a n e r
b ɔː l k ə n ə	B a l k a n e r
b ɔː l k ə n a ɪ z e ɪ ʃ ə n	B a l k a n i z a t i o n
b ɒ l k ə n z	B a l k a n s
b ɔː l k ə n z	B a l k a n s
b æ l ə ɹ æ t	B a l l a r a t
b æ l ɪ n d a ɪ n	B a l l i n d i n e
b æ l i b ʌ n i ə n	B a l l y b u n i o n
b æ l i b ʌ n j ə n	B a l l y b u n i o n
b æ l i m ə k æ ɹ ɪ t	B a l l y m a c a r r e t t
b æ l i m iː n ə	B a l l y m e n a
b æ l m ɒ ɹ ə l	B a l m o r a l
b æ l k w ɪ d ɚ	B a l q u h i d d e r
b ɒ l t	B a l t
b ɔː l t	B a l t
b æ l θ e ɪ z ə	B a l t h a z a r
b ɔː l t ɪ k	B a l t i c
b ɔː l t ɪ m ɔː	B a l t i m o r e
b a l z a k ɪ ə n	B a l z a c i a n
b æ m ə	B a m a
b ɑ m ə k o ʊ	B a m a k o
b ə m ɑ k o ʊ	B a m a k o
b ɑ m b ɑ ɹ ə	B a m b a r a
b ə n ɑː b ə	B a n a b a
b a n a k	B a n a c h
b æ n b ɹ i	B a n b u r y
b æ n d æː ɹ b æ n	B a n d a r b a n
b æ n d ə ɹ s n æ t͡ʃ	B a n d e r s n a t c h
b æ n d ɹ ə	B a n d r a
b æ n d ʊ ŋ	B a n d u n g
b æ n f	B a n f f
b æ ŋ ɡ ə l ɔː	B a n g a l o r e
b e ɪ n d͡ʒ ə l	B a n g e l
b æ ŋ k ɒ k	B a n g k o k
b æ ŋ ɡ l ə d ɛ ʃ	B a n g l a d e s h
b ɑː ŋ ɡ l ə d ɛ ʃ	B a n g l a d e s h
b æ ŋ ɡ ɚ	B a n g o r
b ɑː ŋ ɡ i	B a n g u i
b ɑː ŋ ɡ iː	B a n g u i
b æ n ɪ ŋ	B a n n i n g
b æ n ə k b ɜː ɹ n	B a n n o c k b u r n
b ɑː n t͡ʃ j a ʊ	B a n q i a o
b æ ŋ k w o ʊ	B a n q u o
b æ n s t ɛ d	B a n s t e a d
b æ n t u	B a n t u
b æ n d͡ʒ u d æ ŋ	B a n z h u d a n g
b ɑ n d͡ʒ u d ɑ ŋ	B a n z h u d a n g
b a ʊ d i	B a o d e
b a ʊ d ɪ ŋ	B a o d i n g
b a ʊ d͡ʒ iː	B a o j i
b a ʊ ʃ æ n	B a o s h a n
b a ʊ t ɪ ŋ	B a o t i n g
b a ʊ t o ʊ	B a o t o u
b æ f ə m ɛ t	B a p h o m e t
b æ p t ɪ s t	B a p t i s t
b ɑː t͡ʃ j a ʊ	B a q i a o
b ə ɹ æ b ə s	B a r a b b a s
b a r a k	B a r a c k
b ə r æ k	B a r a k
b ɛ ə r æ k	B a r a k
b ɛ ə r ə k	B a r a k
b ə ɹ a n ɪ v k ə	B a r a n i v k a
b ɑː b e ɪ d i ə n	B a r b a d i a n
b ɑː ɹ b e ɪ d ɒ s	B a r b a d o s
b ɑ ɹ b ɑ l iː s o ʊ s	B a r b a l i s s o s
b ɑ ɹ b ə l ɪ s ə s	B a r b a l i s s o s
b ɑː b ə ɹ ə	B a r b a r a
b ɑː ɹ b ə ɹ i	B a r b a r y
b ɑː r b ɛ r ə	B a r b e r a
b ɑː b i	B a r b i e
b ɑː b i f ɪ k e ɪ ʃ ə n	B a r b i e f i c a t i o n
b ɑ ɹ b j uː d ə	B a r b u d a
b ɑ ɹ b j uː d ə n	B a r b u d a n
b ɑː s ə	B a r c a
b ɑː ɹ s ə	B a r c a
b ɑː s ə l ə ʊ n ə	B a r c e l o n a
b ɑː ɹ k l iː k ɑː ɹ d	B a r c l a y c a r d
b ɑ ɹ ɛ n	B a r e n
b ɑː f	B a r f f
b ɑː d ʒ ɛ l ə ʊ	B a r g e l l o
b æ ɹ ə m	B a r h a m
b ɑ ɹ ɪ n	B a r i n
b ɑː r k ə r	B a r k e r
b ɑː ɹ k ɪ ŋ ɡ	B a r k i n g
b ɑː k s ɪ ə n	B a r k s i a n
b ɑː l ə ʊ	B a r l o w
b ɑː ɹ n z	B a r n e s
b ɑː ɹ n ɪ t	B a r n e t
b ɑː n i	B a r n e y
b ɑː ɹ n s l i	B a r n s l e y
b ɑ ɹ n s t ə b ə l	B a r n s t a b l e
b ɑː ɹ n s t ə b ə l	B a r n s t a p l e
b ɑː ɹ n s t ə p ə ɫ	B a r n s t a p l e
b ə ɹ ə ʊ l ə ʊ	B a r o l o
b ə ɹ ɒ k	B a r o q u e
b ə ɹ ə ʊ k	B a r o q u e
b æ ɹ ə	B a r r a
b ə ɹ æ s o ʊ	B a r r a s s o
